,child_friendly,continent,country,max_altitude,min_altitude,resort_name,season,ski_pass_price,url,beginner_slopes,intermediate_slopes,difficult_slopes,t-bar_lifts,chairlifts,gondolas,snowpark,night_skiing,snow_cannons,country_iso,altitude_diff,total_slopes,season_start,season_end
0,True,Europe,Norway,1450.0,620.0,Hemsedal,November - May,46,https://ski-resort-stats.com/Hemsedal,29.2,10.8,4.1,15,6.0,0.0,True,True,325.0,NOR,830.0,44.1,November,May
1,True,Europe,Norway,1178.0,800.0,Geilosiden Geilo,November - April,44,https://ski-resort-stats.com/Geilo,18.0,12.0,4.2,18,6.0,0.0,True,True,325.0,NOR,378.0,34.2,November,April
2,True,Europe,Austria,2110.0,650.0,Golm,December - April,48,https://ski-resort-stats.com/Golm,13.0,12.0,1.5,4,4.0,3.0,False,False,123.0,AUT,1460.0,26.5,December,April
3,True,America,Canada,2075.0,1185.0,Red Mountain Resort-Rossland,December - April,60,https://ski-resort-stats.com/Red-Mountain-Resort-Rossland,20.0,50.0,50.0,2,5.0,1.0,True,True,,CAN,890.0,120.0,December,April
4,True,Europe,Norway,1030.0,195.0,Hafjell,November - April,45,https://ski-resort-stats.com/Hafjell,33.0,7.0,4.0,14,3.0,1.0,True,True,150.0,NOR,835.0,44.0,November,April
5,True,Europe,Norway,960.0,284.0,Voss,November - May,43,https://ski-resort-stats.com/Voss,25.0,4.0,11.0,7,4.0,0.0,True,False,40.0,NOR,676.0,40.0,November,May
6,False,Rest of the world,New Zealand,1980.0,1300.0,Porter,June - September,61,https://ski-resort-stats.com/Porter,5.0,0.0,5.0,5,1.0,0.0,False,False,,NZL,680.0,10.0,June,September
7,True,America,Chile,2700.0,1600.0,Nevados de Chillán,June - October,57,https://ski-resort-stats.com/nevados-de-chillan,10.0,15.0,10.0,4,6.0,1.0,True,False,,CHL,1100.0,35.0,June,October
8,True,Europe,Germany,1385.0,1030.0,Hochschwarzeck,December - April,22,https://ski-resort-stats.com/hochschwarzeck,4.2,0.0,0.0,3,1.0,0.0,False,False,,DEU,355.0,4.2,December,April
9,True,Europe,Germany,1554.0,1300.0,Rossfeld - Berchtesgaden - Oberau,December - April,20,https://ski-resort-stats.com/rossfeld-berchtesgaden-oberau,7.0,1.0,0.0,4,0.0,0.0,True,True,,DEU,254.0,8.0,December,April
10,True,America,Canada,2134.0,1052.0,Fernie,December - April,67,https://ski-resort-stats.com/Fernie,42.0,58.0,42.0,3,7.0,0.0,True,False,11.0,CAN,1082.0,142.0,December,April
11,True,America,Canada,2082.0,1198.0,Sun Peaks,November - April,62,https://ski-resort-stats.com/Sun-peaks,13.5,78.0,43.5,6,6.0,0.0,True,True,,CAN,884.0,135.0,November,April
12,True,America,Canada,2365.0,1140.0,Panorama,December - April,62,https://ski-resort-stats.com/Panorama,20.0,55.0,25.0,3,6.0,4.0,True,True,,CAN,1225.0,100.0,December,April
13,True,Europe,Germany,1712.0,700.0,Brauneck Lenggries Wegscheid,December - April,35,https://ski-resort-stats.com/brauneck-lenggries-%E2%80%8Bwegscheid,8.0,22.0,4.0,16,4.0,1.0,False,True,,DEU,1012.0,34.0,December,April
14,True,Europe,Switzerland,3899.0,1562.0,Zermatt - Matterhorn,Year-round,81,https://ski-resort-stats.com/zermatt-matterhorn,75.0,220.0,27.0,21,22.0,20.0,True,False,1060.0,CHE,2337.0,322.0,,
15,False,Rest of the world,New Zealand,1960.0,1260.0,Treble Cone,June - October,68,https://ski-resort-stats.com/Treble-Cone,,,,,,,False,False,,NZL,700.0,0.0,June,October
16,True,Europe,Italy,2518.0,1236.0,Val Gardena,December - April,54,https://ski-resort-stats.com/Val-Gardena,52.0,105.0,18.0,29,41.0,14.0,True,False,130.0,ITA,1282.0,175.0,December,April
17,True,Europe,Italy,3275.0,1212.0,Gressoney - La-Trinite (Monterosa Ski),December - April,43,https://ski-resort-stats.com/gressoney-la-trinite-alagna-valsesia%E2%80%8Bchampoluc%E2%80%8Bfrachey-monterosa-ski,23.0,94.0,15.0,9,9.0,12.0,True,False,655.0,ITA,2063.0,132.0,December,April
18,True,Europe,Denmark,78.0,33.0,Hedelands Skicenter,December - March,17,https://ski-resort-stats.com/hedelands-skicenter,0.4,,0.0,1,0.0,0.0,False,False,655.0,DNK,45.0,0.4,December,March
19,True,Europe,France,2466.0,1000.0,Les Gets (Les Portes du Soleil),December - April,51,https://ski-resort-stats.com/les-gets-avoriaz%E2%80%8Bcha%CC%82tel%E2%80%8Bmorgins%E2%80%8Bchamperymorzine-les-portes-du-soleil,310.0,210.0,60.0,89,74.0,11.0,True,True,1074.0,FRA,1466.0,580.0,December,April
